id,name,now_cost,position,team,ep_next,points_per_game_rank,selected_rank_type,influence,saves_per_90,goals_conceded_per_90,points_per_game_rank_type,web_name,creativity_rank_type,in_dreamteam,ict_index_rank_type,transfers_out_event,threat,bonus,red_cards,dreamteam_count,form_rank,influence_rank_type,influence_rank,region,form_rank_type,transfers_in_event,assists,selected_by_percent,value_season,expected_goals,clean_sheets,corners_and_indirect_freekicks_order,expected_assists_per_90,cost_change_event_fall,creativity,goals_scored,value_form,expected_assists,penalties_missed,form,chance_of_playing_next_round,event_points,clean_sheets_per_90,transfers_out,now_cost_rank,now_cost_rank_type,ict_index_rank,goals_conceded,expected_goals_conceded,direct_freekicks_order,ep_this,starts_per_90,expected_goals_conceded_per_90,expected_goal_involvements_per_90,expected_goals_per_90,ict_index,status,threat_rank,news_added,creativity_rank,points_per_game,chance_of_playing_this_round,cost_change_event,bps,starts,transfers_in,selected_rank,saves,yellow_cards,total_points,news,penalties_order,cost_change_start,own_goals,cost_change_start_fall,minutes,expected_goal_involvements,penalties_saved,threat_rank_type
610,Mikey Moore,45,MID,Spurs,1.5,341,101,1.2,0.0,0.0,163,Moore,208,False,204,1560,7.0,0,0,0,233,204,410,241.0,116,1305,0,0.3,0.7,0.04,0,,0.0,0,0.5,0,0.2,0.00,0,1.0,100.0,1,0.0,23347,444,265,406,0,0.19,,1.5,0.0,0.81,0.17,0.17,0.7,a,293,2024-09-10T11:37:22.536995Z,381,1.0,100.0,0,9,0,31760,308,0,0,3,,,0,0,0,21,0.04,0,164
612,Wilson Odobert,54,MID,Spurs,0.0,218,233,10.0,0.0,0.56,94,Odobert,121,False,131,180,42.0,0,0,0,648,174,358,73.0,294,24,0,0.0,1.1,0.42,1,,0.04,0,40.5,0,0.0,0.08,0,0.0,0.0,0,0.56,7021,146,87,261,1,1.63,,0.0,1.12,0.92,0.28,0.24,9.2,i,157,2024-09-18T22:30:07.576455Z,184,2.0,0.0,0,12,2,6046,562,0,0,6,Muscle injury - Unknown return date,,-1,0,1,160,0.50,0,96
388,Aaron Wan-Bissaka,45,DEF,West Ham,1.2,263,58,91.8,0.0,1.69,88,Wan-Bissaka,11,False,29,6281,25.0,0,0,0,169,59,151,241.0,54,2537,0,1.7,2.0,0.04,0,,0.1,0,109.4,0,0.4,0.52,0,1.7,,2,0.0,104615,381,68,126,9,8.31,,1.7,0.94,1.56,0.11,0.01,22.5,a,204,,58,1.5,,0,40,5,70812,156,0,0,9,,,0,0,0,478,0.56,0,50
511,Edson Álvarez Velázquez,50,MID,West Ham,-0.2,373,149,36.2,0.0,2.23,187,Álvarez,105,False,128,624,6.0,0,0,0,339,128,281,139.0,174,550,0,0.1,1.0,0.02,0,,0.09,0,53.1,0,0.1,0.25,0,0.3,100.0,1,0.0,9423,208,130,257,6,4.98,,0.3,1.12,1.85,0.1,0.01,9.6,a,310,2024-09-25T22:30:06.686767Z,152,1.0,100.0,0,34,3,7732,420,0,2,5,,,0,0,0,242,0.27,0,175
512,Michail Antonio,54,FWD,West Ham,7.2,44,24,52.8,0.0,1.26,11,Antonio,15,False,22,8404,134.0,3,0,1,7,23,227,107.0,1,53784,4,2.2,5.6,1.82,1,,0.05,0,53.2,1,1.4,0.25,0,7.7,,18,0.21,139980,130,37,120,6,7.41,,7.7,1.26,1.56,0.43,0.38,23.2,a,45,,151,4.3,,0,81,6,193291,135,0,1,30,,,-1,0,1,427,2.07,0,15
513,Alphonse Areola,45,GKP,West Ham,1.2,171,12,131.8,2.46,1.54,22,Areola,56,False,17,18632,0.0,0,0,0,168,17,83,73.0,19,3637,0,7.1,3.6,0.00,1,,0.0,0,0.0,0,0.4,0.00,0,1.7,100.0,2,0.15,400489,357,12,223,10,9.84,,1.7,1.08,1.51,0.0,0.0,13.2,a,499,2024-09-01T00:30:06.144103Z,526,2.3,100.0,0,61,7,198651,57,16,0,16,,,0,0,0,585,0.00,0,52
514,Jarrod Bowen,74,MID,West Ham,4.8,30,20,186.4,0.0,1.48,14,Bowen,8,False,7,16797,211.0,2,0,1,33,9,26,241.0,14,23338,3,5.5,4.9,0.95,1,2.0,0.3,0,251.5,2,0.7,2.03,0,5.3,,12,0.15,488752,18,12,8,10,10.64,,5.3,1.04,1.58,0.44,0.14,64.8,a,13,,8,5.1,,0,132,7,317170,72,0,0,36,,4.0,-1,0,1,607,2.98,0,8
516,Vladimír Coufal,44,DEF,West Ham,-0.5,184,80,19.2,0.0,1.36,59,Coufal,74,False,112,2773,1.0,0,0,0,473,114,316,57.0,186,170,0,0.6,2.0,0.02,1,,0.05,0,17.5,0,0.0,0.10,0,0.0,,0,0.45,44414,508,111,339,3,4.19,,0.0,0.91,1.9,0.06,0.01,3.5,a,354,,264,2.2,,0,18,2,20880,231,0,0,9,,,-1,0,1,198,0.12,0,114
517,Aaron Cresswell,40,DEF,West Ham,0.2,316,57,3.6,0.0,0.0,100,Cresswell,89,False,125,4066,1.0,0,0,0,254,134,394,241.0,79,2618,0,1.8,0.8,0.03,0,3.0,0.04,0,11.8,0,0.2,0.01,0,0.7,100.0,1,0.0,126165,579,158,382,0,0.84,,0.7,0.0,3.02,0.15,0.11,1.7,a,353,2024-08-30T04:00:05.718151Z,298,1.0,100.0,0,8,0,67136,153,0,0,3,,,0,0,0,25,0.04,0,113
519,George Earthy,45,MID,West Ham,0.0,575,217,0.0,0.0,0.0,242,Earthy,241,False,239,121,0.0,0,0,0,536,236,567,,215,0,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,0.0,0,0.0,6462,432,253,571,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,u,544,2024-08-16T11:57:26.531525Z,564,0.0,0.0,0,0,0,0,537,0,0,0,Loaned to Bristol City,,0,0,0,0,0.00,0,230
520,Emerson Palmieri dos Santos,44,DEF,West Ham,0.5,248,83,72.6,0.0,1.79,80,Emerson,18,False,52,1641,22.0,0,0,0,227,71,185,106.0,69,551,0,0.6,2.5,0.06,1,,0.08,0,87.1,0,0.2,0.42,0,1.0,100.0,2,0.18,39791,498,103,175,10,8.74,,1.0,1.25,1.56,0.09,0.01,17.9,a,209,2024-09-14T18:00:06.450752Z,93,1.6,100.0,0,39,7,25233,239,0,2,11,,,-1,0,1,503,0.48,0,52
521,Łukasz Fabiański,40,GKP,West Ham,-0.5,315,2,16.4,4.0,2.0,27,Fabianski,11,False,27,20265,0.0,0,0,0,360,27,331,172.0,26,30760,0,17.1,0.2,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,,0,0.0,404981,577,43,386,1,1.29,,0.0,0.0,2.58,0.0,0.0,1.6,a,363,,407,1.0,,0,4,0,875067,19,2,0,1,,,0,0,0,45,0.00,0,5
